date,Price,Open,High,Low,Vol.,Change %
10/10/2023,235.9,234.9,236.85,233.75,11.67M,0.51%
9/10/2023,234.7,233.85,236.3,230.5,10.66M,-0.36%
6/10/2023,235.55,234.25,237.5,233.65,8.83M,0.73%
5/10/2023,233.85,237.25,237.4,232.05,22.47M,-0.55%
4/10/2023,235.15,241,241,231.5,25.42M,-2.51%
3/10/2023,241.2,244.35,246.7,240.55,14.89M,-1.77%
29-09-2023,245.55,239.55,251.5,239.5,35.04M,3.59%
28-09-2023,237.05,239.6,241.2,235.65,32.89M,-0.94%
27-09-2023,239.3,239.9,240.5,237.85,9.68M,-0.37%
26-09-2023,240.2,239.75,243.2,239.05,10.68M,0.23%
25-09-2023,239.65,239.15,240.25,237.15,8.03M,0.71%
22-09-2023,237.95,238.6,239.3,236,7.21M,-0.42%
21-09-2023,238.95,240.05,242.9,237.1,10.13M,-1.16%
20-09-2023,241.75,241.5,246,240.35,18.94M,0.23%
18-09-2023,241.2,237,242.15,236.05,11.16M,2.12%
15-09-2023,236.2,235.6,239.3,235.6,14.10M,-0.74%
14-09-2023,237.95,237.95,239.2,235.95,7.57M,0.34%
13-09-2023,237.15,236.1,238.45,233.15,9.15M,0.87%
12/9/2023,235.1,244.2,244.95,234.1,21.17M,-3.29%
11/9/2023,243.1,243.6,243.9,238.15,22.49M,1.19%
8/9/2023,240.25,236,243.6,235,28.86M,2.63%
7/9/2023,234.1,233,238,229.35,30.33M,0.95%
6/9/2023,231.9,235.5,235.85,228.4,14.62M,-1.15%
5/9/2023,234.6,236.9,236.9,231.7,13.95M,-0.51%
4/9/2023,235.8,233.7,236.5,230.5,21.90M,2.21%
1/9/2023,230.7,217.85,231.65,216.15,29.86M,4.72%
31-08-2023,220.3,221.65,221.65,218.75,18.53M,-0.05%
30-08-2023,220.4,222,222,219.75,5.49M,-0.32%
29-08-2023,221.1,219.2,221.75,218.25,8.80M,1.10%
28-08-2023,218.7,217.9,219.3,217.2,4.85M,0.37%
25-08-2023,217.9,221.85,221.85,217.2,7.41M,-1.34%
24-08-2023,220.85,222,222.4,219.65,11.18M,-0.38%
23-08-2023,221.7,222.9,222.9,221.05,13.51M,0.00%
22-08-2023,221.7,219.25,222.3,218.85,16.93M,1.33%
21-08-2023,218.8,217.2,219.55,215.7,13.34M,1.70%
18-08-2023,215.15,215.8,216.65,213.3,14.10M,-0.28%
17-08-2023,215.75,219.45,219.8,215.15,11.87M,-0.78%
16-08-2023,217.45,212.95,217.95,212.05,9.69M,2.09%
14-08-2023,213,213.3,214,211.8,9.28M,0.00%
11/8/2023,213,214.9,216.5,212.65,7.97M,-2.02%
10/8/2023,217.4,219.2,220.85,216.5,10.97M,-0.59%
9/8/2023,218.7,218.45,219.7,216.45,12.55M,0.53%
8/8/2023,217.55,220.3,220.4,214,15.31M,-0.18%
7/8/2023,217.95,219.7,221.35,217.65,12.93M,0.00%
4/8/2023,217.95,221.7,222.2,217.6,12.88M,-0.98%
3/8/2023,220.1,219.1,223.6,217.95,29.87M,0.46%
2/8/2023,219.1,225.05,225.15,216.85,22.65M,-2.69%
1/8/2023,225.15,219.55,226.65,218.85,63.51M,3.11%
31-07-2023,218.35,212.2,218.95,209.65,43.49M,3.98%
28-07-2023,210,201.85,210.45,199.5,39.63M,3.99%
27-07-2023,201.95,201.75,203,200.6,16.01M,0.17%
26-07-2023,201.6,201.5,202.15,200,13.86M,0.47%
25-07-2023,200.65,196.5,201.35,195.9,18.03M,2.42%
24-07-2023,195.9,195.5,197,192.95,9.98M,0.41%
21-07-2023,195.1,192.8,196.35,192.1,11.03M,1.14%
20-07-2023,192.9,192.7,194.25,191.85,8.94M,0.18%
19-07-2023,192.55,191,196.6,190.2,31.76M,2.78%
18-07-2023,187.35,187,189.15,186.3,7.18M,0.46%
17-07-2023,186.5,188.45,188.95,185.8,9.06M,-0.51%
14-07-2023,187.45,187.95,188.35,184.75,12.37M,-0.24%
13-07-2023,187.9,191.8,191.8,186.95,10.61M,-1.52%
12/7/2023,190.8,193.75,194.75,190.25,9.19M,-0.83%
11/7/2023,192.4,192.65,192.95,190.8,11.24M,0.44%
10/7/2023,191.55,192.65,193.35,189.8,10.24M,-0.55%
7/7/2023,192.6,196.75,197.75,192.15,12.65M,-2.11%
6/7/2023,196.75,193.5,197.15,192.75,16.28M,1.73%
5/7/2023,193.4,194,194.75,192.35,6.56M,-0.33%
4/7/2023,194.05,191.1,194.8,189,13.26M,1.46%
3/7/2023,191.25,190,192.6,188.7,7.35M,1.11%
30-06-2023,189.15,188.1,191.65,188,9.58M,0.03%
28-06-2023,189.1,186.05,190.6,185.3,32.48M,1.64%
27-06-2023,186.05,184.9,186.95,184.8,6.79M,0.62%
26-06-2023,184.9,187.4,187.4,184.45,7.23M,-0.96%
23-06-2023,186.7,184.55,187.5,183.75,15.26M,1.19%
22-06-2023,184.5,187.5,187.95,183.35,6.68M,-1.60%
21-06-2023,187.5,187.5,188.7,186.5,5.91M,0.00%
20-06-2023,187.5,186,188,184.55,6.04M,0.89%
19-06-2023,185.85,188.2,188.2,185.2,5.36M,-1.25%
16-06-2023,188.2,186.9,188.7,186.05,8.56M,0.80%
15-06-2023,186.7,187,187.3,185.35,9.84M,-0.27%
14-06-2023,187.2,185.35,188.4,185.35,15.06M,1.00%
13-06-2023,185.35,186,186.65,185,8.33M,-0.19%
12/6/2023,185.7,182.8,186.45,182.65,17.45M,1.59%
9/6/2023,182.8,184,184.25,180.55,10.24M,0.41%
8/6/2023,182.05,178.75,184.35,178.1,27.38M,2.65%
7/6/2023,177.35,175.95,178,175.4,6.27M,1.11%
6/6/2023,175.4,174.5,175.75,173.55,4.89M,0.75%
5/6/2023,174.1,175.8,176.2,173.55,12.24M,-0.26%
2/6/2023,174.55,175.9,175.9,173.4,7.26M,0.09%
1/6/2023,174.4,173.6,174.7,171.85,11.60M,0.32%
31-05-2023,173.85,177,177,171.95,41.79M,-1.67%
30-05-2023,176.8,177,178,175.6,9.73M,0.28%
29-05-2023,176.3,174.95,177.8,174.8,9.94M,1.03%
26-05-2023,174.5,175,177.25,174.1,6.93M,0.00%
25-05-2023,174.5,174.95,175.55,173.4,7.99M,-0.26%
24-05-2023,174.95,174,175.3,173.45,8.51M,0.46%
23-05-2023,174.15,174.95,175.65,172.8,8.36M,0.03%
22-05-2023,174.1,173.3,177.05,173.15,13.34M,0.46%
19-05-2023,173.3,175,175.35,172.95,6.66M,-1.03%
18-05-2023,175.1,177,177.7,174.65,6.92M,-0.51%
17-05-2023,176,177.45,177.85,175.05,6.64M,-0.82%
16-05-2023,177.45,176.9,178,175.5,7.87M,0.85%
15-05-2023,175.95,174,176.75,173.85,7.98M,0.57%
12/5/2023,174.95,179.1,179.25,174.5,8.92M,-2.56%
11/5/2023,179.55,177.6,180,176.95,12.13M,1.41%
10/5/2023,177.05,176,177.35,174.95,6.23M,0.60%
9/5/2023,176,177.2,178.65,175.2,7.92M,-0.59%
8/5/2023,177.05,174.8,177.55,174.5,6.29M,1.61%
5/5/2023,174.25,176.35,176.4,173,5.96M,-1.19%
4/5/2023,176.35,176.45,177.45,174.8,4.67M,0.00%
3/5/2023,176.35,175.6,178.65,175.1,11.19M,0.43%
2/5/2023,175.6,172.65,176,172.55,8.89M,2.09%
28-04-2023,172,171.9,172.5,169.6,21.55M,0.61%
27-04-2023,170.95,170,171.35,168.8,9.05M,0.65%
26-04-2023,169.85,171.1,171.7,169.5,9.03M,-0.73%
25-04-2023,171.1,171.3,172.45,170.35,9.18M,0.09%
24-04-2023,170.95,168.5,171.25,168.2,8.09M,0.74%
21-04-2023,169.7,169.65,169.95,168.4,6.67M,0.00%
20-04-2023,169.7,167.1,170.2,166.8,15.50M,1.56%
19-04-2023,167.1,168.75,169.95,166.8,16.31M,-1.76%
18-04-2023,170.1,170,170.75,169,16.20M,0.29%
17-04-2023,169.6,172.35,173.95,169.25,17.40M,-1.99%
13-04-2023,173.05,176,176.1,172.3,9.94M,-1.56%
12/4/2023,175.8,178,178.3,175.3,7.59M,-1.29%
11/4/2023,178.1,178.1,179.75,176.55,9.21M,0.28%
10/4/2023,177.6,175.85,178,175.2,10.97M,1.37%
6/4/2023,175.2,176.4,176.6,174.85,7.16M,-0.40%
5/4/2023,175.9,178.3,178.3,175.15,10.83M,-1.07%
3/4/2023,177.8,175.6,178.1,175.45,9.10M,1.54%
31-03-2023,175.1,174.8,177.25,174.6,8.13M,0.63%
29-03-2023,174,172.65,175.4,171.7,20.27M,1.16%
28-03-2023,172,171.35,173,170.5,8.75M,0.44%
27-03-2023,171.25,172.65,173.95,170.7,12.08M,-0.84%
24-03-2023,172.7,175.2,175.2,172.35,4.98M,-1.09%
23-03-2023,174.6,174.05,175.85,173.7,5.76M,0.14%
22-03-2023,174.35,177.8,177.8,173.8,7.89M,-1.55%
21-03-2023,177.1,176.85,177.55,175.3,12.89M,0.63%
20-03-2023,176,177.55,177.55,174.95,5.63M,-0.54%
17-03-2023,176.95,181.7,181.7,175.9,47.28M,-1.48%
16-03-2023,179.6,178.2,180,176.95,9.41M,0.79%
15-03-2023,178.2,179.45,179.55,177.75,8.55M,0.17%
14-03-2023,177.9,178.65,181,177.2,9.22M,-1.00%
13-03-2023,179.7,181.3,181.55,179.45,13.67M,-0.58%
10/3/2023,180.75,178,181,177.8,12.40M,0.72%
9/3/2023,179.45,178.4,182.2,178,18.87M,0.34%
8/3/2023,178.85,175.7,179.15,175.45,22.10M,1.16%
6/3/2023,176.8,172.9,177.5,172.7,12.40M,2.43%
3/3/2023,172.6,172,175,171.5,12.96M,1.05%
2/3/2023,170.8,172.2,172.2,170.25,7.73M,-0.84%
1/3/2023,172.25,170.95,173.05,169.95,9.32M,1.03%
28-02-2023,170.5,172.8,173,169.85,19.04M,-1.10%
27-02-2023,172.4,171.15,173.5,170.5,17.67M,0.82%
24-02-2023,171,170.25,171.2,169.4,8.34M,0.83%
23-02-2023,169.6,170.95,171.65,169,11.18M,-0.53%
22-02-2023,170.5,172.95,173.2,168.5,12.23M,-1.59%
21-02-2023,173.25,169.05,174.25,169.05,26.88M,3.19%
20-02-2023,167.9,167.7,170,167.25,6.68M,-0.09%
17-02-2023,168.05,167,169.65,166.45,10.18M,0.39%
16-02-2023,167.4,166,167.7,165.6,7.92M,0.97%
15-02-2023,165.8,166,166.5,164.2,11.86M,-0.15%
14-02-2023,166.05,168.5,168.5,164.85,12.92M,-1.07%
13-02-2023,167.85,165.1,168.2,164.8,9.83M,1.73%
10/2/2023,165,165.1,165.8,164.1,9.47M,-0.60%
9/2/2023,166,165.95,166.65,164.65,5.51M,0.30%
8/2/2023,165.5,165.6,165.75,164.1,8.84M,0.15%
7/2/2023,165.25,166.5,167.7,164.3,8.70M,-0.48%
6/2/2023,166.05,164.5,166.85,164.05,7.59M,0.30%
3/2/2023,165.55,164.5,166.45,162.55,11.73M,-0.81%
2/2/2023,166.9,170,170.85,165.5,19.90M,-1.82%
1/2/2023,170,172.25,173.8,167.2,13.88M,-0.67%
31-01-2023,171.15,169.85,172.65,167.35,24.99M,1.36%
30-01-2023,168.85,167.6,172.25,167.1,30.77M,1.53%
27-01-2023,166.3,166.25,167.05,164,13.76M,0.24%
25-01-2023,165.9,166,166.6,164.4,9.26M,-0.09%
24-01-2023,166.05,167.2,167.55,165.4,7.03M,-0.48%
23-01-2023,166.85,169.4,169.5,166,7.79M,-1.10%
20-01-2023,168.7,169.9,169.9,167.65,8.55M,0.00%
19-01-2023,168.7,170.4,170.4,167.3,6.81M,-0.44%
18-01-2023,169.45,167.5,169.7,167.1,5.54M,1.04%
17-01-2023,167.7,166.6,168.2,165.8,13.02M,1.05%
16-01-2023,165.95,168.65,168.65,164.65,10.32M,-1.10%
13-01-2023,167.8,166.2,168.15,165.5,5.09M,1.11%
12/1/2023,165.95,166.9,167.2,165.55,7.63M,-0.06%
11/1/2023,166.05,168.45,168.8,165.5,8.46M,-1.13%
10/1/2023,167.95,170.4,170.7,167.15,7.56M,-1.44%
9/1/2023,170.4,170.25,171,169.45,6.01M,0.83%
6/1/2023,169,170.45,172.15,168.55,13.22M,-0.53%
5/1/2023,169.9,168,170.35,167.15,18.89M,1.98%
4/1/2023,166.6,167.85,168.5,164.7,12.00M,-0.60%
3/1/2023,167.6,168,169.2,166.8,9.63M,-0.24%
2/1/2023,168,167.05,168.55,166.4,7.32M,0.93%
30-12-2022,166.45,166.75,167.8,166,8.63M,-0.18%
29-12-2022,166.75,165,167.4,164,19.57M,0.54%
28-12-2022,165.85,165,167.6,164.8,9.65M,0.39%
27-12-2022,165.2,167,168.2,164.55,9.24M,-0.27%
26-12-2022,165.65,162,167.75,161.9,8.32M,1.63%
23-12-2022,163,164.3,166.35,162.35,5.31M,-1.75%
22-12-2022,165.9,168.5,168.65,164.55,6.98M,-1.22%
21-12-2022,167.95,170,171.05,166.6,8.45M,-1.06%
20-12-2022,169.75,171.15,171.45,168.55,7.39M,-1.19%
19-12-2022,171.8,169.8,172.25,169.5,7.71M,1.18%
16-12-2022,169.8,171.9,173.1,169.05,9.43M,-1.34%
15-12-2022,172.1,172,174.05,171.7,10.64M,0.29%
14-12-2022,171.6,169.95,173.7,169.45,8.56M,1.42%
13-12-2022,169.2,169.75,170,168.05,5.17M,0.18%
12/12/2022,168.9,170,170,167.55,7.15M,-0.35%
9/12/2022,169.5,171.2,171.75,168,6.17M,-0.50%
8/12/2022,170.35,171.85,172.45,170,4.23M,-0.87%
7/12/2022,171.85,174.1,175,171.3,7.72M,-1.91%
6/12/2022,175.2,175.6,176,173.85,7.01M,0.03%
5/12/2022,175.15,173.05,175.65,171.4,9.86M,1.74%
2/12/2022,172.15,172.4,172.85,171.15,6.38M,-0.03%
1/12/2022,172.2,173.5,173.65,170.85,9.21M,0.00%
30-11-2022,172.2,170.1,172.85,169.75,9.13M,1.20%
29-11-2022,170.15,171,171.6,169.05,7.69M,-0.15%
28-11-2022,170.4,170,171.9,169.4,5.47M,0.38%
25-11-2022,169.75,170.25,171.25,168.6,12.36M,0.15%
24-11-2022,169.5,168.7,170,167.6,10.99M,0.86%
23-11-2022,168.05,167.85,168.25,166.25,12.00M,0.60%
22-11-2022,167.05,165.25,167.5,164.85,15.20M,1.61%
21-11-2022,164.4,165,166.2,164.15,12.79M,-0.87%
18-11-2022,165.85,168.55,169.05,165.1,11.13M,-1.46%
17-11-2022,168.3,169.95,170.8,167.5,12.78M,-0.97%
16-11-2022,169.95,172.1,172.95,169.15,9.78M,-1.25%
15-11-2022,172.1,172.3,174.15,171.4,13.90M,0.38%
14-11-2022,171.45,172.35,173.4,171.1,10.22M,0.00%
11/11/2022,171.45,173,173.6,169.65,16.96M,-0.38%
10/11/2022,172.1,173.5,174.2,170.55,10.67M,-0.75%
9/11/2022,173.4,177.75,177.75,172.25,14.93M,-1.39%
7/11/2022,175.85,177.85,179.5,174.85,12.80M,-0.62%
4/11/2022,176.95,179.05,179.5,176.35,14.88M,-0.67%
3/11/2022,178.15,179.35,181.85,177.25,16.72M,-1.55%
2/11/2022,180.95,181.9,182.7,180,22.15M,-0.47%
1/11/2022,181.8,174,182.95,173.5,41.10M,5.03%
